GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LifelongLearningApp,edu.llapp.domain,UserProfile,21,23,0,0,7,8,4,4,4,4
LifelongLearningApp,edu.llapp.domain,SkillSet,8,62,0,0,1,17,1,10,1,10
LifelongLearningApp,edu.llapp.domain,PlanStep,24,18,0,0,8,7,5,3,5,3
LifelongLearningApp,edu.llapp.domain,ResumeBullets,46,21,4,0,9,7,5,4,3,4
LifelongLearningApp,edu.llapp.domain,Skill,31,72,6,6,8,17,9,8,4,7
LifelongLearningApp,edu.llapp.domain,GapReport,263,44,29,1,52,15,27,8,12,8
LifelongLearningApp,edu.llapp.domain,Reason,20,9,0,0,7,4,5,1,5,1
LifelongLearningApp,edu.llapp.domain,CourseListWithReasons,25,31,0,0,10,9,5,4,5,4
LifelongLearningApp,edu.llapp.domain,SkillLevel,0,21,0,0,0,4,0,1,0,1
LifelongLearningApp,edu.llapp.domain,LearningPath,11,28,0,0,3,10,2,5,2,5
LifelongLearningApp,edu.llapp.domain,Course,64,36,1,1,20,12,13,5,12,5
LifelongLearningApp,edu.llapp.gui,MainFrame.new MouseAdapter() {...},25,0,0,0,5,0,3,0,3,0
LifelongLearningApp,edu.llapp.gui,MainFrame,2395,0,60,0,408,0,66,0,33,0
LifelongLearningApp,edu.llapp.strategies.matchers,KeywordBasedMatcher,8,76,3,7,2,15,4,5,1,3
LifelongLearningApp,edu.llapp.strategies.matchers,SemanticMatcher,58,926,11,29,14,168,13,15,2,6
LifelongLearningApp,edu.llapp.strategies.matchers,HybridMatcher,2,54,0,0,1,13,1,3,1,3
LifelongLearningApp,edu.llapp.strategies.recommenders,PersonalizedStrategy,10,104,4,6,1,24,3,5,0,3
LifelongLearningApp,edu.llapp.strategies.recommenders,CostOptimizedStrategy,163,3,18,0,28,1,13,1,4,1
LifelongLearningApp,edu.llapp.strategies.recommenders,PopularityBasedStrategy,11,75,4,4,2,19,3,4,0,3
LifelongLearningApp,edu.llapp.services,AppController,57,29,0,0,13,10,3,5,3,5
LifelongLearningApp,edu.llapp.services,SkillMatcherService,3,22,0,0,1,7,1,3,1,3
LifelongLearningApp,edu.llapp.services,CourseRecommenderService,0,23,0,0,0,7,0,3,0,3
LifelongLearningApp,edu.llapp.services,PathGeneratorService,0,37,0,2,0,7,0,3,0,2
LifelongLearningApp,edu.llapp.services,ResumeBuilderService,0,49,0,2,0,10,0,3,0,2
LifelongLearningApp,edu.llapp.infra,YouTubeClient,389,26,42,0,85,8,29,2,8,2
LifelongLearningApp,edu.llapp.infra,FallbackRouter,35,33,5,1,11,10,6,3,3,3
LifelongLearningApp,edu.llapp.infra,ConfigLoader,10,49,1,1,4,13,2,7,1,7
LifelongLearningApp,edu.llapp.infra,ApiClient,78,121,9,7,21,32,10,7,4,5
LifelongLearningApp,edu.llapp.infra,SimpleCache.CacheEntry,2,16,1,1,0,5,1,2,0,2
LifelongLearningApp,edu.llapp.infra,SimpleCache,41,61,2,2,10,14,5,4,3,4
LifelongLearningApp,edu.llapp.infra,StrategyRegistry,8,84,0,0,2,14,2,4,2,4
LifelongLearningApp,edu.llapp.infra,LocalCatalogRepository,6,176,0,4,1,22,1,6,1,4
LifelongLearningApp,edu.llapp,Main,14,0,0,0,6,0,3,0,3,0
LifelongLearningApp,edu.llapp,DemoMain,285,0,4,0,53,0,7,0,5,0
